"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.002863,NaN,"#/op",8,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,940.668337,NaN,"#/op",8,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,2.918773,1.087513,"ops/us",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.302368,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,16.352206,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,1034.362347,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,5.678763,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.311222,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.052310,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.169777,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.002872,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.017153,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,1.971951,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,1154.851974,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,1093.940630,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.002054,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,1032.054179,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000557,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,5.606794,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.001726,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.006645,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,3617.908729,NaN,"#/op",8,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,72.420729,21.637370,"ops/us",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.277702,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,0.096608,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,49.449015,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,5.090221,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.002524,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.000272,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.000647,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.000037,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.000061,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,0.033837,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,43.466328,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,45.656430,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.000158,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,49.232551,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000051,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,5.015907,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.000116,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.000588,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,164.407853,NaN,"#/op",9,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,11.215915,0.277573,"ops/us",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.320057,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,4.324629,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,272.542157,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,5.659448,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.090376,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.001799,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.017834,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.000034,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.000474,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,1.168056,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,294.133089,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,303.062060,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.000263,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,271.653645,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000083,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,5.007126,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.000400,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.000922,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,946.900183,NaN,"#/op",9,1,256
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,3.125259,0.026881,"ops/us",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.300267,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,16.368073,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,1033.524498,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,6.131022,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.420835,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.020615,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.363333,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.000086,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.008863,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,1.834793,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,1149.643695,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,1081.819051,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.001711,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,1024.410672,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000719,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,5.624629,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-load-misses","thrpt",1,1,0.001757,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:iTLB-loads","thrpt",1,1,0.006307,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:instructions","thrpt",1,1,3602.857001,NaN,"#/op",9,1,1024
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan","thrpt",1,5,53.471287,2.597704,"ops/us",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:CPI","thrpt",1,1,0.391244,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-load-misses","thrpt",1,1,0.808431,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-loads","thrpt",1,1,47.234676,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-dcache-stores","thrpt",1,1,4.992653,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:L1-icache-load-misses","thrpt",1,1,0.003920,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-load-misses","thrpt",1,1,0.000239,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-loads","thrpt",1,1,0.001154,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-store-misses","thrpt",1,1,0.000461,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:LLC-stores","thrpt",1,1,0.000307,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branch-misses","thrpt",1,1,0.415559,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:branches","thrpt",1,1,43.494749,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:cycles","thrpt",1,1,63.055634,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-load-misses","thrpt",1,1,0.000426,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-loads","thrpt",1,1,46.777443,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-store-misses","thrpt",1,1,0.000074,NaN,"#/op",10,1,32
"com.openkappa.panama.vectorbenchmarks.ByteSearch.scan:dTLB-stores","thrpt",1,1,4.978241,NaN,"#/op",10,1,32
